EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,CLASE
1,-6,-1,0,-1,-2,-23,-6,F
6,-4,-3,-2,-4,-1,26,4,F
-6,-13,-2,-2,-1,4,21,1,F
28,18,-2,-3,0,3,21,5,F
-1,-14,0,-3,-1,-3,-1,4,F
4,28,5,5,6,-3,-62,-15,F
7,-1,-2,-1,2,6,31,6,F
-5,1,6,-1,-2,4,21,5,F
-2,4,-5,-3,-3,-7,-16,-3,F
3,3,-6,-1,2,1,-3,-4,F
-3,-10,-1,-2,2,7,8,1,F
-8,-9,-2,-2,-3,-10,-71,-5,F
-12,-1,0,-1,-2,6,18,-4,F
-6,-3,0,0,0,-4,-22,12,F
8,16,4,-1,3,9,13,-6,F
-10,-7,-4,-4,-2,0,-2,-2,F
-6,-3,0,0,-5,-8,-35,-14,F
7,1,-3,-3,-1,8,24,5,F
-10,4,-6,-6,-7,-10,-13,0,F
-6,-7,3,4,1,-3,5,-5,F
11,3,2,3,2,3,4,2,F
-15,-11,-2,0,0,0,-6,-1,F
24,6,2,0,0,-2,-17,0,F
-1,1,0,-1,0,-3,2,1,F
-1,2,-2,-1,-3,-3,-35,-1,F
12,-6,-1,1,4,8,68,4,F
-9,3,-1,0,0,-2,-14,0,F
12,6,1,1,3,7,35,5,F
-6,5,0,-2,1,-1,-9,3,F
-1,-12,0,-5,-3,-4,9,-1,F
-3,23,1,2,-2,-2,5,-7,F
-14,-15,-12,-7,-7,0,1,-4,F
2,-2,3,-4,-2,-4,-4,-1,F
1,2,-9,-4,0,-3,-1,0,F
-5,-6,-2,-4,-2,-6,12,-6,F
1,6,1,-2,-2,-7,-47,-1,F
-16,-13,-4,-2,-2,4,25,0,F
23,3,1,0,-2,-3,-9,0,F
-4,-3,-1,1,1,4,-1,2,F
-5,-5,0,-1,-4,-7,-31,-3,F
11,4,-1,0,0,0,-5,0,F
-9,-1,2,1,3,6,-3,3,F
-1,-1,0,2,1,-1,38,-3,F
-1,-7,0,-3,-5,-5,-11,-9,F
20,12,-1,0,1,2,-18,0,F
-2,-24,-1,3,-1,-2,16,-7,F
9,46,2,4,3,9,-2,15,F
-10,-7,2,-1,-2,1,-2,-15,F
1,-7,-1,-1,-1,-5,-5,5,F
-2,3,-2,-2,-4,-10,-40,-13,F
-12,-15,3,0,0,10,32,2,F
-9,1,-7,2,4,12,37,12,F
-2,0,-3,-3,-1,-11,-39,-8,F
0,-10,1,-4,-4,-4,-6,3,F
-22,-20,-2,-3,-1,-5,-15,-8,F
21,20,2,0,1,1,19,4,F
-3,-6,-3,0,2,5,16,3,F
-1,4,0,0,-1,-5,8,3,F
2,-9,-3,-4,-5,-6,-32,-6,F
-11,-2,-1,0,1,3,-3,2,F
-5,0,-1,-1,-2,-6,24,-8,F
3,9,0,1,1,7,34,6,F
-6,-7,-4,-4,-2,-7,-26,-8,F
-3,-4,2,1,1,-2,12,3,F
2,0,1,2,2,15,32,8,F
-6,1,-2,2,-1,-6,-25,-5,F
-8,-30,-5,1,-1,-4,-33,-6,F
17,25,2,3,-1,0,9,2,F
14,7,2,-1,-3,-2,-1,3,F
0,12,1,-2,-2,-5,10,0,F
-4,-20,-6,-3,-5,-2,11,2,F
-6,-15,-4,-6,-4,-4,-10,10,F
-11,-6,-3,-1,-2,-4,-16,-12,F
6,7,4,0,0,0,5,-2,F
8,7,1,-2,3,12,19,3,F
-23,-17,-5,0,-3,-12,-46,-10,F
10,4,-2,1,-2,-2,30,0,F
-7,-20,0,1,0,-7,-13,0,G
1,15,-4,-4,-4,-1,1,3,G
11,12,2,-2,-4,-9,-5,7,G
-21,-13,-8,-2,-1,3,7,-5,G
-16,3,3,0,-3,-1,-1,-11,G
35,-4,1,2,6,2,-4,17,G
0,-6,0,-1,-9,-18,-12,2,G
2,1,-5,-6,-8,-8,-18,-9,G
2,10,1,-1,-2,1,7,2,G
-17,-16,-5,0,-2,6,16,-10,G
23,36,3,1,6,14,0,1,G
-2,-5,-3,-1,-4,-16,-9,-6,G
-9,-10,-1,-2,-1,7,-11,-5,G
-7,4,3,0,-2,-2,30,9,G
1,-2,-13,-2,0,3,0,1,G
-11,-17,2,1,0,5,2,-3,G
-2,16,7,0,1,3,0,0,G
-21,-10,-16,-8,-14,-21,-16,-19,G
6,-11,5,-1,3,16,4,0,G
-12,9,-5,1,-2,-25,7,8,G
-3,-18,-4,-3,-2,-4,-38,-15,G
14,6,7,3,6,19,6,10,G
-17,-5,0,-3,-7,-21,-18,-13,G
6,-2,-9,-4,-1,8,7,-2,G
2,0,5,0,0,-2,15,2,G
-8,-1,-1,-1,1,0,-3,-6,G
0,-1,6,1,2,3,16,2,G
22,9,-12,-2,2,14,6,10,G
-8,-3,0,1,-2,5,-4,-6,G
-18,-31,-4,-4,-5,-22,-9,-4,G
25,27,3,0,-2,1,-2,1,G
-14,-3,8,2,0,1,7,-4,G
16,5,-2,0,3,0,-2,-9,G
8,6,-5,-3,-1,1,-3,1,G
-12,-14,0,1,0,-5,4,2,G
-7,-4,6,4,1,1,-17,-5,G
2,-1,-6,-2,1,3,-1,1,G
9,3,10,2,4,2,5,2,G
-21,-8,-13,-2,-2,-3,-5,-5,G
2,-1,1,-2,-1,6,7,4,G
-14,-9,2,-1,-4,-10,2,6,G
6,4,-5,-1,2,5,10,8,G
-13,-25,6,3,1,3,-13,-9,G
26,48,0,-3,-1,-3,7,8,G
-14,-15,-4,-3,-4,-5,-2,3,G
16,29,1,2,-1,0,3,2,G
3,-7,-3,0,0,3,0,-5,G
-19,-21,-1,-1,-3,-1,0,1,G
17,-9,-5,-2,0,0,16,8,G
-3,5,3,1,0,-2,-6,-2,G
-8,-9,-5,-3,-4,-6,-11,-5,G
-3,-6,0,0,2,1,-4,-4,G
0,-5,-1,-1,-5,-6,-5,-3,G
-1,-9,-2,0,-2,3,-1,2,G
-5,4,1,1,2,0,6,-1,G
1,-17,5,-1,-4,-12,-35,-13,G
1,17,-8,0,-2,1,9,4,G
-4,-5,-6,-2,-1,2,-5,-7,G
-1,10,0,-2,1,4,-6,2,G
-3,-3,-9,-5,-3,-2,-18,-11,G
-2,2,4,-4,-16,-28,5,4,G
3,2,-1,-2,-3,-5,-21,-13,G
-11,-17,14,0,0,11,23,12,G
-7,2,-25,-5,4,13,18,8,G
-7,-4,7,3,3,-3,-14,-21,G
-3,-5,-9,-7,-6,-3,-5,8,G
-3,-28,5,1,-1,-8,-10,-9,G
34,37,5,-1,2,12,15,2,G
-18,-5,-3,-1,3,-2,0,8,G
9,3,1,2,0,-9,-15,-8,G
24,5,-6,-1,3,11,6,11,G
-18,-13,8,2,-2,-5,2,4,G
1,-8,-11,-1,1,6,2,-9,G
3,5,6,-2,3,2,0,0,G
-19,-10,-8,-3,-2,1,30,14,G
18,29,5,-2,-4,-11,-26,-2,G
7,-4,-3,-2,2,13,-6,4,G
-5,-2,-2,2,1,3,-2,-1,G
3,7,-3,-2,-5,-2,-4,-1,G
-13,-16,-2,0,-5,-17,24,10,G
5,9,7,1,5,8,-6,-13,G
-9,-12,-5,0,1,9,-21,-4,G
-1,19,6,-2,-6,-26,-4,-5,G
-8,-24,-8,0,4,8,-3,-7,G
-12,15,7,3,2,10,13,8,G
-10,-21,-7,1,-3,-6,11,-3,G
2,-16,-6,0,1,2,-10,-4,G
-22,4,5,-2,-1,0,-8,-13,G
11,-7,-2,-2,-5,-11,-13,4,G
4,11,-3,-5,-1,5,12,-3,G
-2,1,1,3,3,6,4,0,G
2,-13,-1,0,-2,-7,-1,1,G
-18,-23,-5,-2,1,7,30,2,G
10,14,6,0,-4,-6,-13,2,G
-6,3,-5,-1,1,-10,-37,-20,G
9,-13,-2,0,-3,6,1,1,G
7,10,2,0,0,-15,-4,0,G
-8,-10,-3,-1,-1,17,32,11,G
-12,-2,-4,-4,-7,-26,-6,-3,G
-2,6,10,3,3,-1,-24,-16,G
-4,-5,10,3,-1,-4,2,-9,H
1,2,-12,0,-5,-11,-11,2,H
3,2,21,2,5,10,3,2,H
-4,2,-8,-3,0,6,1,-3,H
-5,-3,-14,-9,-2,5,-4,6,H
-4,-2,-1,0,-9,-16,-8,-13,H
5,0,-9,-3,-7,-19,-1,6,H
-4,-10,8,-1,-5,-11,-1,-5,H
1,9,3,-1,3,10,-2,11,H
-2,7,-7,1,6,19,14,-3,H
-4,4,1,2,0,-3,-2,-3,H
4,-2,2,-2,-2,-1,-7,3,H
1,-5,-4,-2,-1,-5,-1,-4,H
0,-10,-4,-1,0,3,1,2,H
-4,-1,2,-1,-1,0,-5,-8,H
-3,4,-15,-2,0,-4,-3,-3,H
-3,-11,0,-1,-4,-2,-1,-1,H
0,3,4,0,1,-7,-5,4,H
-2,-10,-32,-2,2,10,9,-1,H
2,-5,9,4,2,6,-3,-4,H
1,10,5,-2,-2,-1,7,5,H
0,-3,12,0,-3,-13,-18,-9,H
0,-4,-18,-1,-1,3,-3,-3,H
-7,-2,-10,-4,-4,-5,5,-4,H
4,4,6,-1,2,0,1,7,H
0,-8,-16,0,1,2,-4,0,H
-1,3,14,1,-1,-2,9,4,H
-2,3,6,0,3,-6,-14,-3,H
1,-7,-1,0,-3,-2,1,-14,H
-1,3,8,-3,2,9,-7,-5,H
6,2,12,2,-3,-7,2,14,H
-10,3,3,1,-2,-10,1,-11,H
-2,-2,-1,3,1,0,-3,0,H
-6,-4,-11,-3,2,-1,7,-2,H
3,-1,10,5,1,2,-1,0,H
3,0,-10,-4,0,7,6,5,H
0,-13,-42,-6,-3,-6,-10,-4,H
1,15,26,0,-4,-6,0,5,H
1,-3,-5,4,-2,4,-4,0,H
-4,2,10,3,1,-5,3,-6,H
2,-6,-13,-2,-1,9,6,8,H
2,-5,-10,-2,-7,-17,-9,-7,H
-12,2,6,-5,2,3,-2,0,H
-4,-9,-11,-2,-3,0,3,2,H
-1,4,9,3,2,1,-10,-5,H
6,-3,-1,1,0,12,17,14,H
-2,-1,0,-3,-2,0,-12,-6,H
0,1,-3,-3,1,-14,-6,-2,H
-2,3,10,-1,2,13,1,-2,H
-1,-5,-5,-1,-7,-18,-7,0,H
0,-3,-11,-5,1,-3,-2,-3,H
-1,-13,-1,-5,-9,-15,-10,-9,H
1,26,14,7,-1,-3,0,2,H
-2,-9,-10,-2,-1,3,2,-3,H
-1,-1,-3,-3,-2,5,4,-4,H
2,-1,1,1,1,6,-1,2,H
3,0,2,-4,-1,-5,3,8,H
-4,-4,-33,-8,2,11,-5,-3,H
-2,10,32,3,-2,-8,6,-3,H
2,-10,-17,4,0,8,4,3,H
1,-7,5,-4,-5,-8,-3,1,H
-4,-3,0,0,2,16,7,-8,H
3,6,-5,-5,0,-18,-8,-2,H
-8,13,14,1,-1,2,-2,2,H
-2,-5,-3,2,0,-1,-1,2,H
-1,3,4,0,-6,-7,3,7,H
-2,-6,-6,-2,-1,1,-26,-17,H
2,-12,0,0,2,9,25,1,H
-8,24,0,1,1,1,-8,-15,H
-1,-4,9,1,-1,-7,2,7,H
0,-4,-6,0,1,7,4,2,H
2,9,5,-4,0,-2,-7,7,H
-2,-20,3,-2,2,2,4,1,H
-2,-2,-8,1,4,1,-6,-12,H
-3,-1,-1,-5,-4,-6,-7,3,H
-4,-3,-14,-6,0,3,-5,-1,H
3,-2,-13,-2,-2,-13,11,5,H
4,-1,3,0,1,4,-5,1,H
2,0,3,3,-3,5,14,8,H
-4,-2,1,0,-3,-5,-12,-15,H
0,-5,-5,-7,-2,-1,-9,2,H
-9,-28,11,8,1,-1,-8,-5,H
8,16,-11,-5,0,3,-1,-3,H
-3,9,13,2,-2,1,7,11,H
-4,1,-1,0,-4,-12,-12,-14,H
0,-3,-7,-2,2,2,13,6,H
-6,-8,2,1,2,2,-6,-4,H
0,-1,-5,-1,-3,-4,-1,0,H
1,-4,-12,-3,-3,-2,-1,-1,H
2,1,2,0,-7,-34,-15,-4,H
-6,-7,-5,-1,-3,2,0,0,H
5,-1,5,0,1,6,9,-4,H
0,-1,-3,0,1,2,3,3,H
-2,9,1,0,4,21,6,-3,H
-3,-1,-8,-5,-4,-17,-4,-5,H
6,5,18,1,1,-1,-1,4,H
0,-11,6,-1,-1,5,2,0,H
0,20,-16,-1,0,9,12,6,H
-4,-9,-18,-1,1,4,1,-3,H
-4,-4,8,3,1,-6,-3,-2,H
1,-2,3,1,3,3,15,-1,I
-1,2,2,2,1,11,0,-3,I
-3,-1,2,-6,-11,-25,-18,-11,I
2,-8,-10,3,1,5,41,17,I
0,-7,-3,-1,1,6,36,7,I
-2,2,-1,-4,-4,-8,-28,-7,I
0,3,-8,-2,-1,7,25,11,I
-1,3,11,0,-4,-1,-6,1,I
-1,-3,-3,-2,-4,-12,-43,-14,I
-1,-2,0,0,2,4,11,-1,I
0,0,-2,-4,-5,1,-7,2,I
-1,-5,-9,-6,1,2,-13,-7,I
0,-1,0,-2,-4,-9,-1,2,I
1,4,3,0,0,-4,24,18,I
-3,-1,0,4,0,6,-1,-3,I
-1,1,-1,2,0,-5,-19,-14,I
0,3,9,0,3,0,-21,-6,I
0,-6,-11,-4,0,1,-1,5,I
-2,8,1,-7,-4,-3,-20,1,I
1,-13,-2,-2,2,6,16,8,I
-1,1,4,7,2,2,16,0,I
-5,0,-1,-5,-9,-17,-43,-16,I
2,-2,0,4,7,16,13,3,I
-3,3,-1,-2,0,0,-19,-6,I
-2,-5,-8,-6,-12,-11,-42,-6,I
0,4,6,-2,-5,-6,5,-2,I
-1,1,-4,-4,-5,-9,-8,-9,I
1,-5,-4,0,1,0,2,1,I
0,-1,-3,0,0,1,7,2,I
-1,1,1,2,3,3,15,2,I
-1,-2,-2,-2,1,10,15,7,I
0,6,8,7,5,-10,-7,-11,I
1,-2,-5,-6,-5,-6,4,0,I
-3,-7,-1,-4,-1,0,4,-4,I
0,-3,1,1,2,-1,8,3,I
-1,1,-7,-4,-3,7,-4,4,I
-2,-1,2,1,4,9,5,1,I
4,3,2,0,-2,0,47,2,I
-2,-8,-4,-7,-3,-1,-6,1,I
0,2,1,0,3,1,-10,2,I
-2,5,6,0,-4,-6,-13,-11,I
-1,-3,-11,2,1,5,15,4,I
-2,-4,0,2,1,-4,-22,-6,I
4,1,-2,-2,-6,2,34,8,I
0,2,2,-1,5,3,-20,-13,I
-1,-2,1,-1,2,6,22,6,I
-2,1,2,4,-2,-18,-15,-5,I
-4,-10,-10,-7,-9,-3,-9,0,I
-1,-1,2,2,2,5,6,6,I
-1,0,0,3,1,-5,-33,-1,I
2,5,-5,-3,-3,-1,-11,-5,I
-5,-6,8,0,1,0,-5,-2,I
-1,-5,-10,-4,1,4,6,4,I
-3,6,9,-2,-3,-9,-19,-6,I
-1,-3,2,5,2,1,32,8,I
-1,1,-4,2,3,-3,-40,-10,I
-1,-1,-1,2,-3,0,-3,-1,I
-1,-1,-3,-4,-2,1,-1,-5,I
1,-3,-3,0,1,9,4,1,I
-2,-1,-2,-9,-8,-8,11,-5,I
-3,-3,-3,5,11,8,17,9,I
-3,-1,-5,-10,-18,-29,-12,-4,I
-2,-2,0,-3,-4,-5,-5,-4,I
-1,2,0,1,5,2,-9,-3,I
-1,-4,-1,-1,-3,1,12,9,I
3,0,3,6,6,11,22,13,I
-1,5,2,-2,-2,-1,-13,-5,I
-1,-1,2,-7,-7,-6,11,0,I
-2,-1,-12,-2,-1,-4,-20,-6,I
-1,-4,5,2,1,1,13,3,I
1,-6,-5,-4,-2,-5,-14,-1,I
1,4,4,7,4,0,-28,-2,I
0,1,2,-2,1,2,1,-10,I
-2,1,-3,-2,2,6,-1,-1,I
-1,-2,1,-2,-1,-1,-13,-3,I
-2,0,-4,-1,-4,-6,-30,-8,I
2,-2,0,-5,-5,-1,-1,8,I
-1,-1,-2,3,6,5,17,-2,I
-1,-1,3,0,0,3,49,10,I
-2,10,1,3,1,-3,-23,-6,I
0,-11,-2,-7,-9,-6,14,4,I
0,-2,-1,2,1,1,-20,1,I
-1,-3,-4,-4,-5,-1,13,7,I
1,-1,-2,1,0,-2,28,-6,I
-3,2,4,9,6,2,23,7,I
-5,-2,-3,-3,1,4,-2,-4,I
-2,-3,1,-1,-2,-5,-12,-5,I
1,-3,-3,-3,0,6,5,7,I
0,2,0,2,-2,-3,-7,-12,I
2,9,-7,-4,0,5,11,8,I
-1,0,17,-1,-8,-18,-27,-11,I
-2,-14,-11,-4,-1,4,14,4,I
-4,-3,1,-1,-2,-8,-30,-16,I
0,-1,-2,1,-1,-1,18,6,I
-1,4,-5,0,6,7,2,-4,I
0,4,0,-1,-4,-3,3,3,I
0,-5,-8,-5,-3,-5,-9,2,I
0,0,5,2,0,-1,-2,-4,I
0,0,-2,2,2,1,30,5,I
-6,-5,-3,-5,-7,-7,-30,-3,I
-12,3,3,-1,1,5,4,-10,L
-21,-20,-5,-4,-6,-10,-2,-6,L
31,20,0,-4,-5,-12,14,20,L
-20,-1,-3,1,5,9,-13,-15,L
7,0,8,-5,-3,12,5,6,L
-40,-16,-16,-2,2,-11,1,-5,L
20,-9,-1,0,1,10,14,28,L
-10,8,4,-2,-6,-18,-33,-23,L
1,-12,-5,-2,0,-1,11,-6,L
19,27,9,1,0,-1,-9,14,L
-28,-28,-7,1,1,9,11,11,L
0,-6,3,4,5,6,23,-15,L
-7,1,1,-4,-2,0,-8,8,L
11,5,0,-3,-4,0,-7,-15,L
0,2,-5,-1,-2,-12,10,-5,L
-1,-6,-4,-2,-2,2,10,10,L
-3,3,-2,1,-3,-8,-15,0,L
5,4,3,2,2,6,-2,-18,L
-2,-1,-1,-4,-4,3,4,7,L
-7,-7,-3,-3,-5,-5,5,-8,L
-4,0,-2,2,7,0,-9,3,L
12,1,-2,-2,-2,-3,-15,19,L
-14,-4,2,-1,-1,-4,-9,-13,L
4,3,1,-2,-4,-5,-3,-6,L
9,3,-2,4,2,-7,0,10,L
1,-8,-2,-1,2,20,10,-14,L
8,4,5,2,4,1,-14,-26,L
-13,-1,-6,-3,-6,-6,20,31,L
-3,-2,-4,-4,-8,-12,-24,-35,L
59,17,11,2,2,-4,2,5,L
-7,-6,-10,-2,-4,-6,5,31,L
-3,-12,-10,-1,3,24,3,0,L
-6,5,3,-1,3,5,18,-11,L
-14,-12,-1,2,2,0,-26,2,L
-2,6,5,3,-1,-11,16,-26,L
13,3,5,-3,-4,-8,-2,4,L
-19,4,-1,1,3,4,-2,7,L
-7,5,-2,-4,0,-2,8,-9,L
-9,-16,-1,-2,0,3,-8,2,L
-12,-4,0,2,-2,-5,-15,-5,L
33,4,0,-4,-2,-1,-1,10,L
-8,6,5,-3,-8,-7,12,-13,L
-2,3,-1,1,3,11,7,14,L
-2,-14,-13,-2,0,-6,-11,-2,L
11,2,1,-2,-4,-1,0,6,L
2,1,0,4,4,1,-3,14,L
-8,-5,-3,-2,-4,-1,-6,-32,L
-2,-7,-2,-7,-5,-10,-6,-5,L
-47,-4,-2,0,0,-2,-23,0,L
31,4,-5,-4,-3,-6,1,-22,L
2,5,5,1,-1,6,50,38,L
3,-6,1,-3,-1,-5,-61,-39,L
-8,-10,-4,-3,-4,8,-9,9,L
-14,-5,-1,0,-1,5,0,-17,L
0,3,-1,2,4,3,-3,10,L
13,8,2,0,-2,-23,5,-5,L
-20,-8,-5,-8,-9,0,8,9,L
-11,2,0,2,3,9,-11,1,L
-1,-4,-5,-3,-6,-6,-7,-8,L
0,7,2,-1,2,16,30,34,L
5,8,5,4,2,-15,-32,-31,L
-17,-22,-6,1,0,-2,9,1,L
7,4,-4,-4,0,2,-18,2,L
3,4,0,0,-1,0,14,14,L
13,-6,-4,1,1,0,15,-7,L
-15,9,1,-2,-3,-12,-24,3,L
0,-14,-9,-4,-4,6,-5,11,L
-4,-14,7,4,3,0,0,-6,L
-36,1,-9,-1,-3,0,2,-7,L
10,11,-2,-1,-2,-9,14,29,L
-8,-2,-9,-1,0,-5,-19,-26,L
3,2,-3,-3,-5,-6,29,20,L
-1,-10,3,1,2,3,20,7,L
-13,-5,-2,0,0,3,-12,-9,L
-3,6,7,1,-2,-12,-22,9,L
2,4,-1,7,6,20,24,-1,L
16,-1,-1,-2,-3,-11,-16,13,L
-2,-2,-2,-5,-5,-5,12,1,L
12,1,2,0,2,-1,6,14,L
-3,4,-2,1,-1,-6,-4,7,L
18,0,-2,-2,1,20,7,5,L
-21,-6,-1,-1,0,2,4,-9,L
6,6,2,-1,-6,-11,-17,2,L
-7,0,-1,0,3,6,3,-17,L
2,-5,-2,1,-2,-6,9,12,L
21,-6,-1,1,1,0,26,4,L
-22,1,-2,1,5,8,0,-8,L
-2,3,-2,-4,-3,-9,-30,-2,L
9,-3,-2,1,1,-2,8,1,L
-30,-16,1,2,1,9,-10,-18,L
8,15,-4,-1,-5,-9,1,-6,L
36,13,5,1,0,4,6,5,L
-6,-8,-7,-1,0,-8,-21,-13,L
-5,0,1,-2,-3,-3,-10,7,L
10,-3,-2,-3,1,10,0,1,L
-43,-5,-1,-3,-5,-8,0,-15,L
-12,3,4,0,2,16,29,24,L
29,-2,-7,-2,-2,-10,-25,-5,L
-1,-5,1,3,5,0,-13,-7,L
8,-1,-3,-4,-2,3,4,-1,L
2,-2,-1,0,-2,-14,8,-1,M
-13,-3,-2,0,4,36,10,3,M
-8,0,0,4,0,-23,-18,-8,M
22,1,-2,-4,-4,-14,-10,2,M
-25,-3,-2,-3,1,13,16,0,M
11,1,-2,-1,-4,-3,9,5,M
-10,2,0,-1,-4,-3,-14,-4,M
-2,-5,-4,-2,-1,10,9,-1,M
8,-2,-3,-1,-3,-8,-4,-1,M
-15,-4,-2,1,1,6,-5,-5,M
18,4,1,-3,-1,12,9,6,M
-31,-8,-2,-3,-3,-14,-4,-7,M
-12,-2,-1,1,-1,-5,-9,-12,M
15,4,1,1,-2,-8,1,8,M
1,-1,-1,-1,-2,2,-17,-2,M
-3,1,0,-2,1,4,8,2,M
2,-1,-1,-4,-6,-10,-7,-3,M
-17,-3,-2,-3,-3,-6,-1,-6,M
9,-2,2,0,-1,1,9,5,M
-21,-2,0,-1,2,8,11,-3,M
2,-1,1,0,-1,-1,-9,2,M
0,1,2,-1,-3,-13,-35,-11,M
6,0,-2,-1,1,15,2,2,M
-8,-3,-1,-2,-6,-22,-14,-6,M
4,1,1,0,-3,13,25,3,M
18,1,-2,-1,4,-15,18,8,M
-9,-3,-1,-3,-11,-23,-28,-6,M
1,-1,0,3,4,12,18,3,M
12,3,-3,-2,0,-7,-9,1,M
-15,-10,-4,-2,2,16,-5,-1,M
-6,3,-4,-5,2,1,-6,-8,M
-7,1,-3,3,0,1,4,-4,M
-8,0,1,1,-1,-6,-25,1,M
9,0,-2,0,-2,0,12,1,M
7,-2,-1,-3,-2,-2,20,7,M
-10,-2,-4,-3,-3,-14,-14,-5,M
-8,-2,-2,-4,-5,-5,-16,-10,M
-2,1,1,-2,-5,-1,2,-1,M
-12,-1,-2,1,0,-4,3,2,M
2,-2,0,-1,2,13,3,1,M
1,1,2,4,5,14,8,3,M
-7,-2,-1,-1,-2,-19,-17,-5,M
0,-1,-2,2,2,7,-1,0,M
-1,2,1,-3,-8,-2,-12,-1,M
12,0,-2,-4,-3,-12,36,6,M
-25,-7,-3,0,-1,8,-1,-7,M
-8,-1,1,1,4,3,6,0,M
4,-6,-2,1,1,13,-32,-6,M
18,4,3,1,-4,-26,-3,3,M
-7,-2,-5,-4,1,8,8,-4,M
9,-1,5,0,-2,-6,15,4,M
